gender	parental level of education	test preparation course	reading score	writing score	study hours	extracurricular activities	sleep hours	internet usage	physical health	mental health
male	Bachelor’s Degree	incomplete	56	57	3.4442995317642966	Art	8.263185294482454	Gaming	Average	Stressed
male	Some College	incomplete	61	54	1.177945796248544	Debate	7.352957396543829	Social Media	Good	Anxious
female	Associate’s Degree	incomplete	73	68	0.7237372268639541	Drama	4.0283632180470095	Streaming	Poor	Anxious
female	Bachelor’s Degree	incomplete	58	65	3.286335334879759	Dance	4.026008108322923	Streaming	Average	Stable
male	Master’s Degree	completed	65	66	9.126239118858486	Drama	9.521348974964877	Research	Good	Stressed
female	Uneducated	incomplete	56	54	5.438639509939168	Drama	7.3303962288245295	Research	Average	Anxious
male	Associate’s Degree	incomplete	54	57	6.954036240304079	Sports	5.443497026873658	Social Media	Average	Anxious
female	Some College	completed	65	62	8.099706411453486	Art	7.926356561199307	Social Media	Good	Anxious
female	Some College	incomplete	71	76	8.508496587450637	Dance	9.449798092600023	Gaming	Good	Anxious
female	Associate’s Degree	completed	74	76	2.697040409679625	Art	6.180285276930146	Gaming	Poor	Stressed
male	Master’s Degree	completed	84	82	9.21645630886142	Music	9.059093707263704	Research	Good	Anxious
male	Uneducated	incomplete	55	48	2.298620354057204	Debate	4.350148730427889	Research	Average	Stable
male	High School	completed	69	68	3.211914603286592	Debate	4.309624995701459	Gaming	Good	Stable
male	Uneducated	incomplete	44	42	7.787009699247973	incomplete	9.792200836855235	Streaming	Poor	Stable
male	Master’s Degree	incomplete	78	75	9.175724908199449	Music	9.176058939888115	Research	Poor	Anxious
female	Master’s Degree	completed	84	87	3.779114152529085	Sports	6.042457694334042	Research	Good	Stable
female	Master’s Degree	incomplete	41	43	9.53834613386602	Sports	9.854706787819486	None	Average	Anxious
female	Master’s Degree	completed	85	86	5.332313560651475	Debate	5.800231069150965	Online Classes	Good	Stable
male	Some College	incomplete	55	49	6.489598955036385	Debate	4.04822127258379	None	Poor	Anxious
male	High School	completed	59	58	3.4988968053437173	Art	6.897505083830754	None	Average	Stable
female	Some College	incomplete	17	10	5.165103792828482	Music	8.81987085856891	Social Media	Poor	Stable
male	Master’s Degree	completed	74	72	4.057449682310227	incomplete	5.231144853008962	Gaming	Good	Stressed
male	Associate’s Degree	incomplete	39	34	8.21995949557721	Art	4.139409649658124	Online Classes	Poor	Anxious
male	Some College	incomplete	61	55	1.140253941202154	Debate	9.035383620026227	Online Classes	Average	Stressed
female	Some College	incomplete	80	71	2.776109583238365	Sports	7.4641558189908706	Gaming	Average	Stable
female	Uneducated	incomplete	58	59	8.714413248767075	Debate	4.1704381245219775	None	Poor	Anxious
male	Master’s Degree	incomplete	64	61	8.26245857629302	Sports	4.639723153080548	Social Media	Good	Stressed
male	Bachelor’s Degree	incomplete	37	37	3.98591887963268	Drama	5.631247795615221	Research	Average	Stressed
female	Associate’s Degree	incomplete	72	74	3.4136541379632224	Music	6.569663139600351	Online Classes	Average	Stable
male	Bachelor’s Degree	incomplete	58	56	2.2311416861439204	Music	5.487693580159839	Research	Poor	Anxious
female	Uneducated	incomplete	64	57	8.729024534003281	Debate	6.192680487701968	Social Media	Average	Stable
female	Bachelor’s Degree	completed	63	73	2.843999182753091	incomplete	6.46482524797728	Social Media	Average	Stressed
male	Uneducated	completed	55	63	8.321275137194942	Dance	6.068030117767699	Gaming	Poor	Stable
female	Associate’s Degree	incomplete	51	48	6.843930266413143	Art	6.242204550423821	Research	Average	Stressed
male	High School	incomplete	57	56	5.459865430775533	Drama	8.415624979652605	Gaming	Good	Stressed
male	Uneducated	incomplete	49	41	7.280234745194225	Sports	5.726508543852944	None	Poor	Stable
male	Uneducated	incomplete	41	38	6.989191601959246	incomplete	8.943462461223103	None	Average	Anxious
male	Bachelor’s Degree	incomplete	26	22	1.185708037065597	Art	9.187840518728333	Social Media	Average	Anxious
male	Some College	completed	78	81	7.656461987067132	Music	9.643918858248178	Streaming	Poor	Stressed
female	High School	completed	74	72	3.912590500103714	Dance	8.487571602349798	Research	Average	Stable
female	Uneducated	incomplete	68	68	4.28099782402004	Dance	4.856612698283718	Online Classes	Good	Anxious
female	Bachelor’s Degree	incomplete	49	50	0.8641416646919264	Art	4.174344114189802	Social Media	Good	Stressed
male	Some College	incomplete	45	45	1.7722215130061036	incomplete	8.392090255116402	Online Classes	Good	Anxious
male	Uneducated	completed	47	54	7.720727436652512	incomplete	8.506189275698663	Streaming	Good	Anxious
male	Master’s Degree	incomplete	64	63	4.279822449595092	Dance	7.556312462448323	Online Classes	Poor	Stable
male	Bachelor’s Degree	incomplete	39	34	8.48724918719023	Art	6.503465995177023	Social Media	Poor	Stable
female	High School	incomplete	80	82	9.533844115079862	Sports	6.836120448199556	None	Good	Anxious
female	Some College	incomplete	83	88	3.664220760703305	Dance	9.785969846457412	None	Good	Stable
female	High School	incomplete	71	74	5.429073030857147	Drama	4.360580881799162	Social Media	Poor	Stable
female	Associate’s Degree	incomplete	70	67	0.0210302275766283	Drama	7.496320308101778	None	Good	Anxious
female	Uneducated	incomplete	86	82	5.841428197912757	Art	7.489996241070973	None	Poor	Stressed
female	High School	incomplete	72	74	0.4508268574042684	Sports	5.715371062341144	Gaming	Average	Stable
male	High School	incomplete	34	36	2.940991042900809	Debate	4.161103593653664	Social Media	Poor	Stable
male	Master’s Degree	incomplete	79	71	8.67151971416144	incomplete	6.006237036439387	Social Media	Average	Stable
male	Associate’s Degree	completed	45	50	1.0434031726209605	Sports	6.418675680160767	Research	Average	Anxious
female	High School	incomplete	86	92	9.194402997652588	Art	6.785184416190091	None	Average	Stressed
male	High School	completed	81	82	0.9636715910460968	Drama	8.090513230339255	Online Classes	Poor	Stable
male	Bachelor’s Degree	completed	66	62	0.6669615636781356	Debate	4.198797201749724	Social Media	Good	Stable
female	Uneducated	completed	72	70	5.767378844113974	Art	6.021943178825089	None	Average	Stressed
female	Uneducated	incomplete	67	62	1.386612546103082	Drama	4.561233710473552	None	Average	Stable
female	Associate’s Degree	incomplete	67	62	9.442120097854408	Debate	6.306635191675825	Gaming	Good	Stable
male	Uneducated	incomplete	67	67	6.868806845428522	Debate	7.497797644278359	Gaming	Poor	Anxious
male	Bachelor’s Degree	completed	74	74	7.136025594629119	Dance	7.657640789406477	Social Media	Good	Stable
female	Uneducated	incomplete	91	89	7.069926980607557	incomplete	9.726539210724985	Research	Poor	Stable
male	High School	completed	44	47	7.362937815302571	Art	9.056224861180151	Gaming	Poor	Stable
male	Associate’s Degree	completed	86	90	9.0461518841907	Drama	7.859478001134664	Online Classes	Poor	Stressed
female	Bachelor’s Degree	incomplete	67	72	1.5745879029520349	Debate	4.746378820363406	Research	Good	Stable
female	Bachelor’s Degree	incomplete	100	100	5.409636688024514	Art	7.129015097371942	Gaming	Poor	Anxious
male	Bachelor’s Degree	completed	63	64	6.966323032738323	Debate	5.463470076917539	None	Good	Stable
female	Associate’s Degree	incomplete	76	70	0.8796116796546394	incomplete	7.994318939825273	Social Media	Average	Anxious
female	Master’s Degree	incomplete	64	72	4.5720560394444885	Debate	4.718710963131409	Social Media	Average	Stressed
female	High School	completed	89	98	8.14321237662761	incomplete	5.791076672900649	Research	Good	Stressed
male	Uneducated	incomplete	55	49	3.4995749626292936	Debate	7.585177355520356	Online Classes	Average	Stressed
male	High School	incomplete	53	47	6.31134367485632	Dance	9.913174060844849	Streaming	Average	Anxious
female	Bachelor’s Degree	incomplete	58	54	1.9101401264247408	Art	4.269642317023028	Social Media	Poor	Stable
female	Some College	completed	100	100	4.3243545511273656	Sports	6.037035625853992	Online Classes	Average	Stressed
male	Master’s Degree	incomplete	77	74	5.895785802498482	Debate	4.550240202448778	Streaming	Good	Stressed
female	Uneducated	incomplete	85	82	7.910663498172844	Art	4.787132182217112	Streaming	Poor	Stable
female	Some College	incomplete	82	79	0.3942480157954053	incomplete	8.732003093713425	Gaming	Average	Anxious
female	Master’s Degree	incomplete	63	61	3.723177471907122	Art	9.922498942125072	Streaming	Average	Stressed
female	Master’s Degree	incomplete	69	65	3.8790862275444393	Sports	9.208799760271358	Streaming	Average	Anxious
female	High School	completed	92	89	7.742364938906629	Sports	8.168286279905633	Gaming	Average	Anxious
male	Uneducated	completed	89	92	9.968400158149448	Debate	7.126221825671906	Streaming	Poor	Stable
female	Associate’s Degree	completed	93	93	3.601747912835256	incomplete	5.635632793305229	Online Classes	Good	Stable
male	Some College	incomplete	57	56	8.08127592688121	Dance	4.636133798921736	Streaming	Average	Stressed
male	Master’s Degree	incomplete	80	73	0.318602802455149	Drama	5.731203664859093	Social Media	Poor	Stable
female	Uneducated	incomplete	95	86	2.8498545440647263	Debate	8.378341681913202	Research	Average	Anxious
male	Bachelor’s Degree	incomplete	68	67	1.5315679326522025	Drama	5.239096816806249	Social Media	Average	Stable
male	Associate’s Degree	completed	77	74	0.2705693441975021	Music	4.290038293737039	Online Classes	Good	Anxious
male	High School	incomplete	82	74	8.096210375568706	incomplete	8.079479986776327	Streaming	Average	Stable
female	Some College	incomplete	49	51	5.785902996812128	Dance	5.612202553827414	Research	Poor	Anxious
male	Some College	incomplete	84	82	6.772014685942553	incomplete	9.911471887240848	Social Media	Poor	Stable
male	Uneducated	completed	37	40	7.080225219152444	incomplete	5.212933425395573	Online Classes	Average	Stable
male	High School	completed	74	70	1.2895716473260357	Sports	5.20190492434265	Online Classes	Poor	Anxious
female	Bachelor’s Degree	completed	81	84	7.431584312191578	Sports	8.974049843094772	None	Average	Anxious
male	High School	completed	79	75	2.1084497221661938	Drama	4.475016635304534	Gaming	Good	Stable
male	Some College	incomplete	55	48	3.125124214108004	incomplete	7.939046602919417	Gaming	Poor	Stressed
male	High School	completed	54	41	4.344446755769314	Drama	6.400331782002165	Streaming	Poor	Stressed
male	Some College	incomplete	55	56	5.177358528890363	Drama	6.259740972456767	Online Classes	Good	Anxious
female	Some College	incomplete	66	67	7.380157095033856	Debate	9.131092046546518	Online Classes	Average	Stable
male	Some College	completed	61	69	8.977492571122664	Sports	9.53096035521428	Online Classes	Poor	Stable
female	Uneducated	incomplete	72	71	0.3611416610557749	Art	7.07892218427242	Research	Poor	Stable
female	Uneducated	incomplete	62	64	2.06270201848342	incomplete	9.939084462574009	Research	Average	Anxious
female	High School	completed	55	54	5.736217079378315	Sports	4.671911728527204	Online Classes	Poor	Stable
male	Associate’s Degree	incomplete	43	47	2.6594125875344	Drama	9.031452072445065	Gaming	Average	Anxious
male	Uneducated	incomplete	73	78	0.3883298529602241	incomplete	7.591979903885827	Streaming	Good	Stressed
female	High School	incomplete	39	33	4.400545831361946	Drama	9.28025782529975	Research	Average	Stressed
male	High School	incomplete	84	75	9.03028917261817	Debate	5.117150423550042	Streaming	Average	Stressed
male	Uneducated	incomplete	68	66	7.401098708279515	Sports	9.1114172734079	Social Media	Average	Stable
female	Uneducated	completed	75	81	0.5190708773615393	Drama	5.793158945952913	Streaming	Good	Stable
male	Master’s Degree	completed	100	93	0.7408196913065501	Dance	5.008861659069514	None	Poor	Anxious
male	Associate’s Degree	completed	67	69	2.323563988062113	Sports	6.375553713429722	Online Classes	Poor	Stressed
male	Associate’s Degree	incomplete	67	68	4.599511489352185	Debate	4.915338879778531	Online Classes	Poor	Stable
female	Bachelor’s Degree	completed	70	66	6.027345675264294	Debate	5.561393778460397	Social Media	Good	Stable
male	Master’s Degree	incomplete	49	47	4.722661323163157	Music	5.075185607802958	Streaming	Average	Stressed
male	Some College	incomplete	67	61	2.86948501479258	Art	9.2909635923519	Social Media	Poor	Anxious
female	High School	completed	89	88	7.740102783556329	Dance	4.326994982369204	Social Media	Average	Anxious
female	Some College	completed	74	78	1.3564668235953647	Music	9.617083261270452	Research	Average	Stressed
male	Master’s Degree	incomplete	60	60	8.353529278636579	Dance	5.019860733414103	Social Media	Good	Stable
female	Some College	completed	86	87	3.1071228215251487	Debate	5.430238897951275	Social Media	Average	Stressed
male	Uneducated	incomplete	62	64	4.512458475964171	Debate	4.374695669478059	None	Good	Stable
male	Master’s Degree	completed	78	74	9.682571118285546	Sports	4.541455026651295	Streaming	Poor	Anxious
female	Uneducated	completed	88	85	9.070705835371076	Dance	9.457425401197243	Research	Poor	Anxious
male	High School	incomplete	53	52	4.305046720407781	incomplete	5.736940608530904	Research	Average	Stable
male	Bachelor’s Degree	incomplete	53	49	9.388344175716671	incomplete	9.935870998673668	Social Media	Poor	Stable
female	Bachelor’s Degree	incomplete	92	91	1.094968678489946	Debate	4.344701859581784	Gaming	Poor	Stressed
female	Associate’s Degree	completed	100	100	7.636126040808034	Dance	8.002391092148581	Research	Good	Stable
male	Master’s Degree	completed	51	51	5.69887007245425	Debate	5.919000692673071	Gaming	Average	Stable
female	High School	completed	76	78	4.639800009867956	Drama	9.070382274984096	Gaming	Poor	Stable
female	Master’s Degree	completed	83	78	7.58636751708446	Dance	7.11913713269581	None	Good	Stressed
female	Some College	completed	75	70	5.741010797775844	Sports	8.739398807725042	Research	Average	Stressed
male	High School	completed	73	74	9.91635956036205	Music	7.1558696253834295	Social Media	Poor	Anxious
male	Uneducated	incomplete	88	78	2.1460768848373704	Sports	9.27697318887219	Streaming	Good	Anxious
female	Associate’s Degree	incomplete	86	81	7.555264134113702	Music	6.785884922019707	Gaming	Good	Anxious
female	High School	incomplete	67	70	8.15108697137924	incomplete	7.66661445746498	Social Media	Poor	Anxious
female	Some College	completed	51	54	7.851240335745152	Art	8.444062262214961	None	Good	Stable
female	High School	completed	91	87	5.62688147228822	Drama	6.010409665801287	Gaming	Good	Stressed
female	Some College	completed	54	58	1.6029673614103834	Debate	4.776444766983346	Online Classes	Average	Stable
female	Master’s Degree	completed	77	77	5.041695939356687	Music	7.5332923978211825	Streaming	Good	Stressed
female	Uneducated	completed	70	62	5.35544656052007	Debate	5.796041500932248	Gaming	Good	Stressed
female	Bachelor’s Degree	completed	100	100	8.409004387520376	Sports	4.342746664784682	Social Media	Poor	Stable
male	High School	completed	68	75	4.566145968810354	Art	6.762409549796642	Online Classes	Good	Stable
female	Uneducated	incomplete	64	66	5.856125368262544	incomplete	5.393514470144192	Research	Poor	Anxious
female	Associate’s Degree	incomplete	50	47	2.6498464829881927	incomplete	6.397121008188777	Gaming	Poor	Anxious
female	Master’s Degree	incomplete	69	70	3.5086858840612543	Dance	4.886479126500205	Online Classes	Average	Stable
male	High School	completed	52	49	6.475435125869158	incomplete	7.771932196826956	Streaming	Good	Stressed
male	High School	completed	67	65	9.907846325070512	Drama	8.731576435351656	Streaming	Poor	Anxious
male	Bachelor’s Degree	incomplete	76	65	1.9572518266242445	Art	8.608776090870712	Online Classes	Poor	Stressed
male	High School	completed	66	68	7.916913691593056	Drama	5.205445293107403	None	Good	Stressed
male	Uneducated	incomplete	52	45	4.501102480801484	Art	4.760929914607379	None	Good	Stressed
female	Master’s Degree	incomplete	88	87	4.899440456726985	incomplete	8.794973092479566	Research	Good	Stressed
female	High School	incomplete	65	69	6.887126484730796	Drama	4.549035198937084	Online Classes	Good	Stable
male	Bachelor’s Degree	completed	83	79	4.417348618834881	incomplete	8.990208447942218	Research	Poor	Stressed
female	Some College	incomplete	64	66	8.97969092868086	Music	6.863393253152729	Gaming	Average	Anxious
male	Associate’s Degree	completed	62	62	1.2437201522064725	Sports	9.116560873875136	Gaming	Good	Stressed
female	Associate’s Degree	completed	84	85	2.2644739904969944	incomplete	7.20174616960656	Gaming	Average	Stressed
male	Bachelor’s Degree	incomplete	55	52	6.692698996642593	Sports	5.862083352229838	Online Classes	Good	Stressed
male	Uneducated	completed	69	65	6.714596676088816	Dance	5.463881309553641	Streaming	Poor	Anxious
male	Some College	incomplete	56	51	9.31406389269628	incomplete	9.254264274960285	Research	Good	Stable
female	High School	incomplete	53	55	3.62085540364838	Sports	4.168766564118293	Streaming	Good	Anxious
female	Associate’s Degree	incomplete	79	76	3.213428530434582	incomplete	5.594116570691218	Gaming	Average	Stressed
female	Associate’s Degree	completed	84	86	9.86052423089683	Debate	7.85147537249519	Online Classes	Average	Stressed
female	Uneducated	incomplete	81	77	2.746468324171296	Debate	9.64095095011361	Research	Good	Stable
male	Uneducated	incomplete	77	69	3.1267620944015877	Sports	8.625256468262158	Research	Good	Stable
female	Uneducated	incomplete	69	68	7.119752663516131	Dance	6.157020059243006	Streaming	Good	Anxious
male	Associate’s Degree	incomplete	41	42	7.815872178325365	Music	9.102707273258524	Online Classes	Good	Stable
male	Associate’s Degree	completed	71	78	0.2350345220660255	Music	7.999203403058103	None	Good	Anxious
male	Associate’s Degree	incomplete	62	62	2.541102782171385	incomplete	6.242083750625319	Gaming	Good	Stressed
male	High School	completed	80	76	1.139800863310776	Art	4.228744165998066	Streaming	Poor	Anxious
female	Uneducated	incomplete	81	76	7.787695290097195	Debate	8.80258904165721	Online Classes	Poor	Anxious
female	Bachelor’s Degree	incomplete	61	66	5.449584594256615	Dance	5.44644806244779	Streaming	Good	Stable
male	High School	completed	79	79	5.928893778573396	incomplete	5.160457350213165	Research	Average	Stressed
male	Uneducated	incomplete	28	27	8.811368521413259	Drama	8.053848292471283	Gaming	Average	Stressed
female	Uneducated	incomplete	62	60	1.8626211890801716	Dance	6.021548846387715	None	Good	Anxious
male	Uneducated	completed	51	56	8.657422093534938	Art	8.702976110491113	None	Average	Stressed
male	Uneducated	completed	91	81	1.453160308925434	Art	6.378828216066895	Research	Average	Stable
male	Bachelor’s Degree	completed	83	75	6.160154228028373	Dance	9.490158231112623	Social Media	Good	Stable
female	Associate’s Degree	completed	86	88	1.0696645378169	Drama	9.572159946659234	None	Average	Stable
female	Bachelor’s Degree	incomplete	42	39	3.435871143	incomplete	7.267457915235117	Research	Average	Anxious
male	Bachelor’s Degree	incomplete	77	70	9.971594047875012	incomplete	8.681138399674898	Online Classes	Average	Anxious
male	Uneducated	completed	56	56	5.146810087462136	Dance	7.243849608117966	Social Media	Poor	Stressed
female	Bachelor’s Degree	completed	68	74	6.823892798076637	Dance	9.119363118849847	Research	Average	Stressed
male	Some College	incomplete	85	73	9.461125566429448	incomplete	6.468192571377211	Gaming	Good	Stressed
female	Bachelor’s Degree	incomplete	65	62	8.781140377199101	Art	8.84648019051189	Streaming	Good	Stressed
male	Bachelor’s Degree	incomplete	80	75	6.5420784636307525	Sports	6.247119911411643	Gaming	Poor	Stressed
female	Bachelor’s Degree	completed	66	73	9.39356627487799	Sports	9.484150738312607	Online Classes	Good	Stable
female	Associate’s Degree	incomplete	56	54	8.579727781660782	Debate	9.342408549847631	Streaming	Average	Anxious
female	Associate’s Degree	incomplete	72	71	7.011168566719716	Sports	5.0011287838730745	Gaming	Good	Anxious
male	Associate’s Degree	incomplete	50	54	9.95023390486272	Drama	8.435943038173956	Online Classes	Good	Anxious
male	Uneducated	incomplete	72	64	3.865576786938952	Art	7.652110471556215	Online Classes	Good	Stable
female	High School	completed	95	94	7.951223244854092	Drama	8.975086102025742	Social Media	Average	Stable
male	Uneducated	incomplete	64	66	4.031157178863207	Dance	7.442578885742239	Gaming	Good	Anxious
male	High School	incomplete	43	42	1.9132631575383183	Art	4.580988054075575	Online Classes	Poor	Stable
female	Master’s Degree	incomplete	86	83	6.610029579277867	Art	9.061802939938955	Research	Average	Stressed
male	Some College	incomplete	87	78	3.5954215992054186	Debate	4.225093073504439	Online Classes	Average	Stressed
male	Master’s Degree	completed	82	84	6.313140732355862	Debate	8.76711727004735	None	Poor	Stressed
male	High School	incomplete	75	77	1.5098582125802484	Debate	9.557331187962472	Streaming	Poor	Anxious
male	Associate’s Degree	incomplete	66	67	6.913383115003022	Art	5.553469608021908	Online Classes	Average	Stable
female	Uneducated	completed	60	74	4.672657948875735	incomplete	4.895835507526764	Streaming	Average	Stable
male	Master’s Degree	incomplete	52	51	6.525079533391783	Art	9.618456363636552	Gaming	Poor	Stable
male	Uneducated	incomplete	80	80	9.177596952066686	Sports	7.612395518035187	None	Average	Stressed
male	Associate’s Degree	completed	68	66	3.6813673076974727	Music	9.046152657739766	Social Media	Poor	Stressed
female	High School	incomplete	83	83	5.034100023698708	Drama	4.685561953943355	Online Classes	Good	Stable
female	Uneducated	incomplete	52	55	9.883787159563395	Music	8.546087226583978	Social Media	Poor	Anxious
male	High School	incomplete	51	43	0.8872609699449674	incomplete	4.952011876233134	Streaming	Poor	Anxious
male	High School	incomplete	74	69	6.756036692582459	Dance	7.8181794832111	Social Media	Good	Anxious
male	Bachelor’s Degree	incomplete	76	71	9.463732596209873	Drama	5.9446972551420405	Online Classes	Average	Anxious
male	Some College	incomplete	76	74	5.299466837018438	Debate	6.012510968263165	Streaming	Poor	Anxious
female	Bachelor’s Degree	completed	70	68	7.608638853259824	Music	6.075497460872652	Online Classes	Poor	Anxious
female	Master’s Degree	incomplete	64	62	7.675843036220748	incomplete	4.264435884296088	Gaming	Average	Anxious
male	Associate’s Degree	incomplete	60	53	0.7065560513348279	Drama	6.057618285821629	Research	Poor	Anxious
male	Bachelor’s Degree	completed	49	49	7.4756733189028735	Debate	8.604057805858638	Research	Good	Anxious
female	Associate’s Degree	incomplete	83	83	9.058589252305357	Debate	4.342585070170881	None	Good	Anxious
female	Associate’s Degree	completed	70	70	9.70405523573924	Sports	9.990284022296382	Social Media	Average	Anxious
male	Associate’s Degree	incomplete	80	72	6.264701609788265	Art	6.206781774372956	Gaming	Poor	Anxious
male	Associate’s Degree	incomplete	52	52	5.79632008663645	Art	9.144277861192757	Gaming	Poor	Stable
female	Associate’s Degree	incomplete	73	70	1.0974071501381133	Music	9.999716965774956	Gaming	Good	Stressed
female	Master’s Degree	incomplete	73	68	4.738626277912791	Art	7.8455014519328765	Research	Good	Stable
male	Uneducated	completed	77	77	6.5058824613228	Drama	9.660658299237904	Streaming	Poor	Stressed
female	Bachelor’s Degree	incomplete	75	78	9.996304169651498	Drama	6.822516357132656	Social Media	Good	Stressed
female	High School	completed	81	81	9.170960726240573	Sports	7.866415155492675	Research	Poor	Stable
female	Master’s Degree	completed	79	77	6.504060839869447	incomplete	9.554125523305142	Gaming	Average	Stable
male	Some College	completed	79	78	9.811837047584111	Debate	9.11961211192607	Streaming	Good	Stable
female	Uneducated	incomplete	50	51	5.494737219509283	incomplete	7.7770635829518895	None	Poor	Anxious
female	Bachelor’s Degree	incomplete	93	90	2.540015686894445	incomplete	8.458418540827683	Online Classes	Poor	Stable
male	Associate’s Degree	incomplete	73	68	1.6785549419495238	Debate	6.964568998901317	Gaming	Average	Stable
male	High School	incomplete	42	41	7.734218326097821	Drama	5.433945154847162	Gaming	Good	Stressed
female	Master’s Degree	incomplete	75	81	3.3261080261443587	Drama	8.882269835695169	None	Poor	Anxious
female	Some College	incomplete	72	77	3.59575275011631	Sports	5.885663610044908	Streaming	Poor	Anxious
female	Associate’s Degree	completed	92	95	9.33289204377229	Music	6.580696336715267	None	Poor	Stable
female	Some College	incomplete	76	70	8.042725441000318	Art	4.230377333868974	Research	Good	Anxious
male	Uneducated	incomplete	63	61	7.505205421795821	Art	5.438895610210094	None	Good	Stressed
male	Some College	incomplete	49	42	6.707687301905888	Art	8.948139272796865	None	Average	Stressed
female	High School	incomplete	53	58	1.8220075439909755	Dance	8.828892662711388	Streaming	Good	Stressed
female	Master’s Degree	incomplete	70	71	0.4300963007944258	Debate	7.660458235725278	Gaming	Average	Stressed
male	High School	completed	85	76	1.2866456256331715	Debate	6.115083552842901	Streaming	Average	Stressed
male	Master’s Degree	incomplete	78	73	5.862500726637855	Art	8.726499519248765	Social Media	Poor	Stable
female	Uneducated	completed	92	93	9.30682894418828	incomplete	9.753669188182451	Research	Poor	Stable
female	Associate’s Degree	completed	63	75	5.1050756754212125	Art	7.374606311229279	Research	Good	Stable
female	Bachelor’s Degree	incomplete	86	80	1.9777063417448928	Drama	4.081320844286907	Research	Good	Stable
male	High School	incomplete	56	57	4.56366808945837	Dance	4.236837003750418	Social Media	Average	Stable
